ESTADO,SEDE,DIRECCION,CP,TEL,CORREO
BAJA CALIFORNIA SUR,TIJUANA,CALLE PANFILO NATERA 6400 ENTRE FRANCISCO VILLA Y MACLOVIO HERRERA COL FRANCISCO VILLA,22615,(664) 634 9360,proteccioncivil@baja.gob.mx
BAJA CALIFORNIA SUR,MEXICALI,"CALLE LAGO WINIPEG 441 COL  JARDINES DEL LAGO
COL JARDINES DEL LAGO",21330,(686) 555 4998,proteccioncivil@baja.gob.mx
BAJA CALIFORNIA SUR,LA PAZ,BLVD LUIS DONALDO COLOSIO ESQ VALENTIN GOMEZ FARIAS COL PUEBLO NUEVO,23060,612 123 80 00,pagina@sepbcs.gob.mx
SONORA,HERMOSILLO,NAYARIT 289 ESQUINA CON GANDARA COLONIA SAN BENITO,,(662)236 44 00,cepc@sonora.gob.mx
CHIHUAHUA,CHIHUAHUA,AV H COLEGIO MILITAR 6509 NOMBRE DE DIOS,31150,800 MARCAME (627 2263),
COAHUILA,ARTEAGA,LIBRAMIENTO OSCAR FLORES TAPIA KM 12,25350,(844) 439 27 46,
TAMAULIPAS,CD VICTORIA,LIBRAMIENTO NACIONES UNIDAS ACCESO AL 77° BATALLON DE INFANTERIA COL LUIS DONALDO COLOSIO,87014,(834) 305 7132,
SINALOA,CULIACAN,AV INSURGENTES S/N COL CENTRO,80000,01 800 00 41300,
DURANGO,DURANGO,AV GUADALUPE VICTORIA 200 CUADRA DEL FERROCARRIL DURANGO,34020,(618) 137 95 98,
ZACATECAS,ZACATECAS,CALZADA SOLIDARIDAD Y AV DE LOS DEPORTES S/N,98060,492 492 0911 ,proteccion.civil@zacatecas.gob.mx
NUEVO LEON,MONTERREY,CALLE TEPEYAC 1666 PONIENTE COL PIO X,64710,8183431116,pcivil@nuevoleon.gob.mx
SAN LUIS POTOSI,SLP,BLVD SALVADOR NAVA MARTINEZ 1580,78380,444 815 87 67,
AGUASCALIENTES,AGUASCALIENTES,BLV A ZACATECAS 111 ALTOS COL INDUSTRIAL,20030,01 (449) 9 96 93 00,proteccion.civil@aguascalientes.gob.mx
JALISCO,GUADALAJARA,AV 18 DE MARZO 750 ,44470,(0133) 3675 3060,
NAYARIT,TEPIC,AV VICTORIA ESQ CON SAN LUIS,,(01 311) 133 03 69,
COLIMA,COLIMA,ROBERTO ESPERON 1170 COL DE LOS TRABAJADORES,28067,(312 )313 0311,ac.uepc@gmail.com
MICHOACAN,MORELIA,CALZ LA HUERTA 1020 EX HACIENDA LA HUERTA,58190,(443) 322 48 00,
GUANAJUATO,SILAO,MINERAL DE VALENCIANA S/N GUANAJUATO PUERTO INTERIOR,36275,472 748 9330,
QUERETARO,QUERETARO,BLVD BERNARDO QUINTANA 10000 COL CENTRO SUR,76090,442 217 07 02,atencion.ciudadana@municipiodequeretaro.gob.mx
HIDALGO,PACHUCA,C JOSE MARIA PINO SUAREZ 903,42090 ,01 800 2020711,
VERACRUZ,XALAPA,TORRE CORPORATIVA OLMO DISTRIBUIDOR VIAL NO 1009,91096,228 82031 70,
TLAXCALA,TLAXCALA,L CARDENAS LA LOMA XICOHTENCATL,90070 ,01 (246) 46 6 65 27,
PUEBLA,PUEBLA,CALLE REFORMA 710 EDIFICIO LA CASA DEL NIÑO,72000,(222) 2 46 27 50,proteccion.civil@puebla.gob.mx
MEXICO,ZINANCATEPEC,VIALIDAD ADOLFO LOPEZ MATEOS S/N COLONIA LAS CULTURAS,51350,72 22 13 08 37,pcivil.usei@edomex.gob.mx
CDMX,CUAUHTEMOC,CALLE ABRAHAM GONZALEZ 67 COLONIA JUAREZ,6600,56 83 22 22,atencion.ciudadana@sgirpc.cdmx.gob.mx
MORELOS,CUERNAVACA,CALLE MOTOLINIA 2 ANTES 13 ESQ NEZAHUALCOYOTL,62000,01 777 329 55 00,
GUERRERO,CHILPANCINGO,BOULEVARD RENE JUAREZ CISNEROS,39074,747 472 7042,
OAXACA,OAXACA,PROL DE XICOTENCATL 1031,68120,01(800) 170 70 70,
CHIAPAS,TUXTLA GUTIERREZ,CARR EMILIANO ZAPATA KM 1.9,29000,(961) 61 5 51 78,
TABASCO,VILLAHERMOSA,AV ADOLFO RUIZ CORTINES S/N COL LA MANGA I,86069,(993) 3 58 11 25,jmieripcet@gmail.com
CAMPECHE,CAMPECHE,CALLE 12 126 CENTRO HISTORICO,24000,(981) 816 04 96,webmaster@seprocicam.gob.mx 
YUCATAN,MERIDA,CALLE 61 X 60 Y 62,97000,(999) 930 3100,procivy@yucatan.gob.mx
QUINTANA ROO,CHETUMAL,CALLE PRESA DE LA AMISTAD 435 COL CAMPESTRE,77030,(983) 83 30828,
